id,title,creator,date_avg,date_range_start,date_range_end,type,file
MQDQ-525,carminum libri  2,Venantius Fortunatus,576,576,576,poetry,lat_0601_MQDQ-525.txt
MQDQ-526,carminum libri  3,Venantius Fortunatus,576,576,576,poetry,lat_0601_MQDQ-526.txt
MQDQ-527,carminum libri  4,Venantius Fortunatus,576,576,576,poetry,lat_0601_MQDQ-527.txt
MQDQ-528,carminum libri  5,Venantius Fortunatus,576,576,576,poetry,lat_0601_MQDQ-528.txt
MQDQ-529,carminum libri  6,Venantius Fortunatus,576,576,576,poetry,lat_0601_MQDQ-529.txt
MQDQ-530,carminum libri  7,Venantius Fortunatus,576,576,576,poetry,lat_0601_MQDQ-530.txt
IT-LAT0990_4,De Pascha,Martinus Bracarensis,576,576,577,prose,lat_0550_IT-LAT0990_4.txt
IT-LAT0990_5,De superbia,Martinus Bracarensis,564,550,579,prose,lat_0550_IT-LAT0990_5.txt
IT-LAT0433,Pro repellenda iactantia,Martinus Bracarensis,564,550,579,prose,lat_0550_IT-LAT0433.txt
IT-LAT0990_7,Exhortatio humilitatis,Martinus Bracarensis,564,550,579,prose,lat_0550_IT-LAT0990_7.txt
MQDQ-211,epitaphium,Martinus Bracariensis,564,550,579,poetry,lat_0579_MQDQ-211.txt
IT-LAT0435,Sententiae patrum Aegyptiorum,Martinus Bracarensis,567,556,579,prose,lat_0550_IT-LAT0435.txt
IT-LAT0990_8,"Formula vitae honestae, De quattuor virtutibus",Martinus Bracarensis,574,570,579,prose,lat_0550_IT-LAT0990_8.txt
MQDQ-531,carminum libri  8,Venantius Fortunatus,587,584,591,poetry,lat_0601_MQDQ-531.txt
MQDQ-532,carminum libri  9,Venantius Fortunatus,587,584,591,poetry,lat_0601_MQDQ-532.txt
IT-LAT0783,Historiae,Gregorius Turonensis,583,573,594,prose,lat_0550_IT-LAT0783.txt
MQDQ-619,hymni,Columba,567,537,597,poetry,lat_0559_MQDQ-619.txt
MQDQ-110,variae,[Auctor incertus],150,300,600,poetry,lat_0514_MQDQ-110.txt
MQDQ-119,*de martyrio Maccabaeorum,Pseudo-Hilary,487,375,600,poetry,lat_0367_MQDQ-119.txt
MQDQ-159,*de passione domini,Pseudo-Lactantius,550,500,600,poetry,lat_0300.0_MQDQ-159.txt
IT-LAT0978,Apophthegmata,Macarius Magnus: Sanctus,550,500,600,prose,lat_0350_IT-LAT0978.txt
